% 1. Sección de Cabecera (Header Section)
@relation daily_sales_analysis

@attribute day_of_week {Mon, Tue, Wed, Thu, Fri, Sat, Sun}
@attribute weather {sunny, rainy, cloudy, snow}
@attribute is_holiday {TRUE, FALSE}
@attribute sales_usd real
@attribute marketing_spend real
@attribute competitors_nearby real
@attribute customer_traffic_level {traffic_high, traffic_low}

% 2. Sección de Datos (Data Section)
@data
Fri,cloudy,FALSE,4260.80,158.00,3.00,traffic_high
Sat,sunny,FALSE,5560.10,188.00,3.00,traffic_high
Sun,rainy,TRUE,3760.60,133.00,3.00,traffic_high
Mon,cloudy,FALSE,1760.50,67.00,3.00,traffic_low
Tue,rainy,FALSE,1960.80,75.00,3.00,traffic_low
Wed,sunny,FALSE,2190.10,83.00,3.00,traffic_low
Thu,cloudy,FALSE,2440.40,92.00,3.00,traffic_low
Fri,rainy,FALSE,4290.70,160.00,3.00,traffic_high
Sat,cloudy,FALSE,5590.00,190.00,3.00,traffic_high
Sun,sunny,TRUE,3790.90,135.00,3.00,traffic_high
Mon,sunny,FALSE,1650.10,58.00,3.00,traffic_low
Tue,rainy,FALSE,1850.40,66.00,3.00,traffic_low
Wed,cloudy,FALSE,2080.70,74.00,3.00,traffic_low
Thu,sunny,FALSE,2330.00,83.00,3.00,traffic_low
Fri,rainy,FALSE,3970.90,138.00,3.00,traffic_high
Sat,cloudy,FALSE,5270.20,168.00,3.00,traffic_high
Sun,rainy,TRUE,3370.50,111.00,3.00,traffic_high
Mon,rainy,FALSE,1770.40,68.00,3.00,traffic_low
Tue,cloudy,FALSE,1970.70,76.00,3.00,traffic_low
Wed,rainy,FALSE,2200.00,84.00,3.00,traffic_low
Thu,cloudy,FALSE,2450.30,93.00,3.00,traffic_low
Fri,sunny,FALSE,4320.60,162.00,3.00,traffic_high
Sat,rainy,FALSE,5620.90,192.00,3.00,traffic_high
Sun,cloudy,TRUE,3820.20,137.00,3.00,traffic_high
Mon,cloudy,FALSE,1780.30,69.00,3.00,traffic_low
Tue,sunny,FALSE,1980.60,77.00,3.00,traffic_low
Wed,cloudy,FALSE,2210.90,85.00,3.00,traffic_low
Thu,rainy,FALSE,2460.20,94.00,3.00,traffic_low
Fri,cloudy,FALSE,4350.50,164.00,3.00,traffic_high
Sat,sunny,FALSE,5650.80,194.00,3.00,traffic_high
Sun,rainy,TRUE,3850.50,139.00,3.00,traffic_high
Mon,rainy,FALSE,1660.00,59.00,3.00,traffic_low
Tue,cloudy,FALSE,1860.30,67.00,3.00,traffic_low
Wed,sunny,FALSE,2090.60,75.00,3.00,traffic_low
Thu,cloudy,FALSE,2340.90,84.00,3.00,traffic_low
Fri,rainy,FALSE,4000.10,140.00,3.00,traffic_high
Sat,sunny,FALSE,5300.40,170.00,3.00,traffic_high
Sun,cloudy,TRUE,3400.80,113.00,3.00,traffic_high
Mon,cloudy,FALSE,1790.20,70.00,3.00,traffic_low
Tue,rainy,FALSE,1990.50,78.00,3.00,traffic_low
Wed,cloudy,FALSE,2220.80,86.00,3.00,traffic_low
Thu,sunny,FALSE,2470.10,95.00,3.00,traffic_low
Fri,rainy,FALSE,4380.40,166.00,3.00,traffic_high
Sat,cloudy,FALSE,5680.70,196.00,3.00,traffic_high
Sun,rainy,TRUE,3880.80,141.00,3.00,traffic_high
Mon,sunny,FALSE,1800.10,71.00,3.00,traffic_low
Tue,cloudy,FALSE,2000.40,79.00,3.00,traffic_low
Wed,sunny,FALSE,2230.70,87.00,3.00,traffic_low
Thu,cloudy,FALSE,2480.00,96.00,3.00,traffic_low
Fri,rainy,FALSE,4410.30,168.00,3.00,traffic_high
Sat,sunny,FALSE,5710.60,198.00,3.00,traffic_high
Sun,cloudy,TRUE,3910.10,143.00,3.00,traffic_high
Mon,rainy,FALSE,1670.90,60.00,3.00,traffic_low
Tue,cloudy,FALSE,1870.20,68.00,3.00,traffic_low
Wed,rainy,FALSE,2100.50,76.00,3.00,traffic_low
Thu,cloudy,FALSE,2350.80,85.00,3.00,traffic_low
Fri,sunny,FALSE,4030.00,142.00,3.00,traffic_high
Sat,cloudy,FALSE,5330.30,172.00,3.00,traffic_high
Sun,rainy,TRUE,3430.70,115.00,3.00,traffic_high
Mon,cloudy,FALSE,1810.00,72.00,3.00,traffic_low
Tue,sunny,FALSE,2010.30,80.00,3.00,traffic_low
Wed,cloudy,FALSE,2240.60,88.00,3.00,traffic_low
Thu,rainy,FALSE,2490.90,97.00,3.00,traffic_low
Fri,sunny,FALSE,4440.90,170.00,3.00,traffic_high
Sat,cloudy,FALSE,5740.20,200.00,3.00,traffic_high
Sun,sunny,TRUE,3940.40,145.00,3.00,traffic_high
Mon,rainy,FALSE,1820.90,73.00,3.00,traffic_low
Tue,cloudy,FALSE,2020.20,81.00,3.00,traffic_low
Wed,rainy,FALSE,2250.50,89.00,3.00,traffic_low
Thu,cloudy,FALSE,2500.80,98.00,3.00,traffic_low
Fri,rainy,FALSE,4470.80,172.00,3.00,traffic_high
Sat,sunny,FALSE,5770.10,202.00,3.00,traffic_high
Sun,cloudy,TRUE,3970.70,147.00,3.00,traffic_high
Mon,sunny,FALSE,1680.80,61.00,3.00,traffic_low
Tue,cloudy,FALSE,1880.10,69.00,3.00,traffic_low
Wed,sunny,FALSE,2110.40,77.00,3.00,traffic_low
Thu,rainy,FALSE,2360.70,86.00,3.00,traffic_low
Fri,cloudy,FALSE,4060.90,144.00,3.00,traffic_high
Sat,sunny,FALSE,5360.20,174.00,3.00,traffic_high
Sun,cloudy,TRUE,3460.60,117.00,3.00,traffic_high
